Ключ проблемы,Идентификатор проблемы,Идентификатор родителя,Статус,Создано,Обновленo,Исполнитель,Пользовательское поле (Story Points),Тема,Создатель
ANL-1414,139280,,Готово,12.04.2022 16:41 ,08.11.2023 17:18 ,klekovkinve,,ad-hoc / Подтянуть к АНЧ регионы по номерам,klekovkinve
ANLW-246,139247,,Готово,12.04.2022 14:08 ,22.04.2022 11:32 ,messnerav,,"Собрать аналог ""OBJ_GA"".""REPORT_IB_CLAIM"" в BQ",klekovkinve
DE-503,138746,,Готово,08.04.2022 17:49 ,29.01.2024 12:42 ,fedotovap,,Добавить объекты в раскатку (ALT),klekovkinve
DE-497,137859,,Готово,05.04.2022 14:37 ,07.02.2024 18:44 ,,,Отсечь тестовые заявки из ODS_MORTGAGE.EVENT,klekovkinve
DE-496,137845,,Готово,05.04.2022 13:58 ,29.01.2024 12:42 ,fedotovap,,Изменить цепочку MORTGAGE,klekovkinve
ANL-1397,137582,,Закрыт,04.04.2022 15:57 ,28.11.2022 12:08 ,,,Отчет по расхождениям комиссий для Репина,klekovkinve
DE-492,137099,,Готово,31.03.2022 16:13 ,04.04.2022 09:11 ,permyakovana,,Заменить справочник M2/SALES_TARGET,klekovkinve
ANL-1392,136612,134440,Закрыт,29.03.2022 21:34 ,28.04.2023 15:01 ,,,Продажи / Отчет по застройщикам / Добавить показатели по ипотеке,klekovkinve
ANL-1391,136611,134440,Закрыт,29.03.2022 21:33 ,28.04.2023 15:00 ,,,"Продажи / Показатели сотрудников / Добавить KPI ""Ипотека в рыночных банках""",klekovkinve
DE-471,136606,,Готово,29.03.2022 19:44 ,30.03.2022 15:23 ,fedotovap,,"Создать вью ""DM_ALTERNATIVE_BI"".""V_ALT_SUMMARY_FOR_VTB""",klekovkinve
ANL-1390,136604,,Готово,29.03.2022 19:34 ,08.11.2023 17:18 ,klekovkinve,,ad-hoc / Активные партнеры АН,klekovkinve
ANL-1384,136243,,Готово,28.03.2022 17:54 ,08.11.2023 17:18 ,klekovkinve,,Заменить источник в MART_MORTGAGE.OPERATION_REPORT,klekovkinve
DE-453,135888,,Готово,25.03.2022 15:47 ,28.03.2022 20:08 ,fedotovap,,"Создать таблицу ""MART_MORTGAGE"".""BANK_REQUEST""",klekovkinve
DE-446,134289,,Готово,17.03.2022 18:54 ,18.03.2022 15:12 ,fedotovap,,"Создать таблицу ""MART_MORTGAGE"".""CALCULATED_ROYALTY""",klekovkinve
DE-444,134265,,Готово,17.03.2022 16:34 ,23.03.2022 14:29 ,permyakovana,,Загрузить справочник ODS_MORTGAGE_DICT/BANK_ROYALTY_CONDITION,klekovkinve
ANL-1370,133349,,Закрыт,14.03.2022 11:38 ,28.04.2023 15:00 ,,,Срез когноса по результатам обновлений датасетов,klekovkinve
DE-441,132970,,Готово,10.03.2022 18:46 ,18.03.2022 10:52 ,permyakovana,,"Создать справочник ""ODS_MORTGAGE_DICT"".""LOAN_ISSUED""",klekovkinve
ANL-1365,132933,,Готово,10.03.2022 16:32 ,08.11.2023 17:18 ,klekovkinve,,Альтернатива. Отчет для ВТБ. Добавить ролевую модель,klekovkinve
ANL-1351,130426,,Готово,24.02.2022 17:36 ,08.11.2023 17:16 ,babchenkoka,,Вытащить атрибуты ЭР в витрину альтернативы,klekovkinve
ANL-1350,130425,,Закрыт,24.02.2022 17:36 ,26.07.2022 15:30 ,klekovkinve,,Вытащить компании из сделок СБР под ВТБ,klekovkinve
ANL-1347,130010,,Закрыт,22.02.2022 13:43 ,04.05.2022 17:50 ,klekovkinve,,ad-hoc / классифайд / подготовить новый срез,klekovkinve
ANL-1346,129988,,Закрыт,22.02.2022 12:53 ,09.03.2022 11:21 ,klekovkinve,,ad-hoc / Продажи / активные партнеры февраля через ВТБ,klekovkinve
DE-426,129784,,Готово,21.02.2022 16:51 ,04.04.2022 14:54 ,fedotovap,,"Добавить в раскатку вью ""DM_ALL_PRODUCTS_BI"".""V_CALENDAR""",klekovkinve
ANL-1345,129689,,Закрыт,21.02.2022 12:41 ,21.02.2022 16:41 ,klekovkinve,,Доработка отчета по продажам: заменить атрибут company_code на company_code_origin ,klekovkinve
ANL-1337,129484,,Закрыт,18.02.2022 16:31 ,21.03.2022 12:45 ,klekovkinve,,Альтернатива. Отчет для ВТБ,klekovkinve
